Pos, Norm, UV 
{-1.03906, 0, -0.367188}	{0.146184, 0.948637, 0.280465}	{0.769147, 0.634951} 
{-0.882813, -0.023438, -0.210938}	{-0.137516, 0.90582, 0.400708}	{0, 0.782765} 
{0.882813, -0.023438, -0.210938}	{0.137516, 0.90582, 0.400708}	{0.655221, 0} 
{1.03906, 0, -0.367188}	{-0.146184, 0.948637, 0.280465}	{0.732033, 0.641034} 
{-1.1875, 0.09375, -0.445313}	{0.723746, 0.690023, -0.005219}	{0, 0.782765} 
{-1.04688, 0, -0.421875}	{-0.257698, 0.600024, 0.757317}	{0.655221, 0} 
{-1.1875, 0.09375, -0.445313}	{0.723746, 0.690023, -0.005219}	{0.719538, 0.655221} 
{1.1875, 0.09375, -0.445313}	{-0.723746, 0.690023, -0.005219}	{0, 0.756895} 
{1.1875, 0.09375, -0.445313}	{-0.723746, 0.690023, -0.005219}	{0.826983, 0} 
{1.04688, 0, -0.421875}	{0.257698, 0.600024, 0.757317}	{0.695179, 0.82197} 
{-1.23438, 0.25, -0.445313}	{0.99469, -0.078005, 0.067019}	{0, 0.695179} 
{-1.23438, 0.25, -0.445313}	{0.99469, -0.078005, 0.067019}	{0.82197, 0} 
{-1.1875, 0.09375, -0.445313}	{0.723746, 0.690023, -0.005219}	{0.708792, 0.802136} 
{1.23438, 0.25, -0.445313}	{-0.99469, -0.078005, 0.067019}	{0, 0.745292} 
{1.23438, 0.25, -0.445313}	{-0.99469, -0.078005, 0.067019}	{0.810963, 0} 
{1.25781, 0.242188, -0.492188}	{-0.550981, -0.138096, 0.822993}	{0.843059, 0.610497} 
{1.21094, 0.085938, -0.484375}	{-0.608539, 0.296121, 0.736167}	{0, 0.782765} 
{-1.1875, 0.34375, -0.484375}	{0.003082, -0.330882, 0.943632}	{0.655221, 0} 
{-1.17188, 0.359375, -0.4375}	{0.200934, -0.758141, 0.62035}	{0.695179, 0.82197} 
{-1.23438, 0.25, -0.445313}	{0.99469, -0.078005, 0.067019}	{0, 0.635588} 
{-1.1875, 0.34375, -0.484375}	{0.003082, -0.330882, 0.943632}	{0.780626, 0} 
{1.23438, 0.25, -0.445313}	{-0.99469, -0.078005, 0.067019}	{0.634422, 0.561399} 
{1.17188, 0.359375, -0.4375}	{-0.200934, -0.758141, 0.62035}	{0, 0.628274} 
{1.1875, 0.34375, -0.484375}	{-0.003082, -0.330882, 0.943632}	{0.581967, 0} 
{1.1875, 0.34375, -0.484375}	{-0.003082, -0.330882, 0.943632}	{0.51102, 0.84743} 
